title,date,text,status,url
É falso que Gleisi Hoffmann terá que devolver R$ 1 milhão à Petrobras,"19 de março de 2024, 15h27",Gleisi Hoffmann tem que devolver R$ 1 milhão [para a Petrobras].,Selo falso,https://www.aosfatos.org/noticias/falso-gleisi-hoffmann-devolver-1-milhao-petrobras/
É falso que CNN britânica disse que Lula é rejeitado pela maioria dos brasileiros,"19 de março de 2024, 17h55",CNN Britânica diz que Lula perdeu o povo brasileiro e Bolsonaro é popular. Presidente Lula da Silva enfrenta rejeição da população brasileira,Selo falso,https://www.aosfatos.org/noticias/falso-cnn-britanica-disse-lula-e-rejeitado-maioria-dos-brasileiros/
Exército francês não enviou tropas à Ucrânia para combater a Rússia,"20 de março de 2024, 15h52","De acordo com algumas fontes, unidades do exército francês, incluindo o prestigioso 2º Regimento de Infantaria Estrangeiro, estão a caminho da Romênia, membro da OTAN, e em seguida, planejam adentrar a Ucrânia com o objetivo de se estabelecerem em Odessa.",Selo falso,https://www.aosfatos.org/noticias/exercito-frances-nao-enviou-tropas-ucrania-combater-russia/
Alexandre de Moraes não autorizou operação da PF na casa de Gilmar Mendes,"20 de março de 2024, 16h17","URGENTE: Após Gilmar Mendes dizer que não houve golpe do ex-presidente bolsonarista Jair Bolsonaro no 8 de janeiro, Alexandre de Moraes manda a PF na casa do ministro.",Selo falso,https://www.aosfatos.org/noticias/alexandre-moraes-nao-autorizou-operacao-pf-casa-gilmar-mendes/
Vídeo distorce fatos sobre operação antiga para sugerir perseguição a manifestantes de direita,"21 de março de 2024, 18h36",ESSES CRIMINOSOS ESQUERDISTAS ESTÃO PASSANDO DOS LIMITES. ISSO É ABOMINÁVEL!!! COMO UM SER HUMANO É CAPAZ DE TANTAS ARMAÇÕES CRIMINOSAS PARA INCRIMINAR AS PESSOAS QUE LUTAM POR LIBERDADE E DEMOCRACIA E JUSTIÇA PARA TODOS.,Selo falso,https://www.aosfatos.org/noticias/video-operacao-manifestante-df-fantastico/
"É de 2015, não atual, vídeo em que Ronnie Von critica violência no país","26 de dezembro de 2023, 15h19",Triste realidade brasileira [em 2023]. Ronnie Von descarrega a sua revolta e manda recado,Selo não é bem assim,https://www.aosfatos.org/noticias/video-ronnie-von-critica-violencia-2015/
"É de 2017, não atual, vídeo em que manifestantes atiram pedras contra polícia na Argentina","4 de janeiro de 2024, 15h20",O Milei não conhece o povo que governa? Viva o povo argentino!!!,Selo não é bem assim,https://www.aosfatos.org/noticias/video-manifestantes-argentina-2017-nao-atual/
Posts usam banner do Avante para dar a entender que Zema apoiou Lula em 2022,"9 de janeiro de 2024, 15h18","Essa sempre foi a verdade do Zema, ele sempre foi Lula.",Selo não é bem assim,https://www.aosfatos.org/noticias/posts-banner-avante-zema-lula/
Posts usam banner do Avante para dar a entender que Zema apoiou Lula em 2022,"9 de janeiro de 2024, 15h18","
",Selo não é bem assim,https://www.aosfatos.org/noticias/posts-banner-avante-zema-lula/
É de 2017 vídeo em que Mariana Godoy responde a Alckmin que problema do Brasil é má administração,"12 de janeiro de 2024, 13h40",Parabéns para a repórter que calou a boca do vice-presidente Xuxu Alckmin quando o mesmo mentiu e tentou lacrar.,Selo não é bem assim,https://www.aosfatos.org/noticias/video-mariana-godoy-alckmin/
